image,similarity,persona
quinty-v2_00001_.png,59.07560537962415,quinty
quinty-v2_00002_.png,54.714243797379936,quinty
quinty-v2_00003_.png,57.450504757914885,quinty
quinty-v2_00004_.png,59.50022134336399,quinty
quinty-v2_00005_.png,59.00576523290809,quinty
quinty-v2_00006_.png,57.04195199335628,quinty
quinty-v2_00007_.png,58.4194398141492,quinty
quinty-v2_00008_.png,59.302212127410584,quinty
quinty-v2_00009_.png,56.99618796388288,quinty
quinty-v2_00010_.png,58.82570941628894,quinty
quinty-v2_00011_.png,61.29686508195269,quinty
quinty-v2_00012_.png,57.600667096542054,quinty
quinty-v2_00013_.png,59.26309104322042,quinty
quinty-v2_00014_.png,58.051127754765005,quinty
quinty-v2_00015_.png,61.936201982554486,quinty
quinty-v2_00016_.png,60.01425713360899,quinty
quinty-v2_00017_.png,56.2543809231782,quinty
quinty-v2_00018_.png,58.87328756916567,quinty
quinty-v2_00019_.png,59.539131198711424,quinty
quinty-v2_00020_.png,66.17036829363029,quinty
quinty-v2_00021_.png,58.62593670217029,quinty
quinty-v2_00022_.png,52.48171846300706,quinty
quinty-v2_00023_.png,57.01372504474108,quinty
quinty-v2_00024_.png,58.638891347763256,quinty
quinty-v2_00025_.png,58.213270890915034,quinty
quinty-v2_00026_.png,56.73928917548147,quinty
quinty-v2_00027_.png,62.49172068895006,quinty
quinty-v2_00028_.png,57.02814250577032,quinty
quinty-v2_00029_.png,53.69476137276125,quinty
quinty-v2_00030_.png,61.28789710319269,quinty
quinty-v2_00031_.png,54.967253543624125,quinty
quinty-v2_00032_.png,55.76879203273805,quinty
quinty-v2_00033_.png,60.550237847124336,quinty
quinty-v2_00034_.png,60.134272462921224,quinty
quinty-v2_00035_.png,56.990763840557875,quinty
quinty-v2_00036_.png,55.03522214887757,quinty
quinty-v2_00037_.png,65.56862945425237,quinty
quinty-v2_00038_.png,58.83472627040268,quinty
quinty-v2_00039_.png,56.10835189394267,quinty
quinty-v2_00040_.png,57.527678747249965,quinty
quinty-v2_00041_.png,58.215393579744415,quinty
quinty-v2_00042_.png,58.22226819067785,quinty
quinty-v2_00043_.png,56.45838508071822,quinty
quinty-v2_00044_.png,56.21704653302575,quinty
quinty-v2_00045_.png,61.390175504629084,quinty
quinty-v2_00046_.png,57.26612923531093,quinty
quinty-v2_00047_.png,56.817095414288296,quinty
quinty-v2_00048_.png,57.60592276575067,quinty
quinty-v2_00049_.png,58.20616406855786,quinty
quinty-v2_00050_.png,59.70439182413927,quinty
