image,texture_similarity,matches_threshold,persona
quinty-v2_00001_.png,93.09118695435866,True,quinty
quinty-v2_00002_.png,93.06602377771722,True,quinty
quinty-v2_00003_.png,93.81694862189214,True,quinty
quinty-v2_00004_.png,93.74914238349467,True,quinty
quinty-v2_00005_.png,93.40093082023702,True,quinty
quinty-v2_00006_.png,93.82928100660969,True,quinty
quinty-v2_00007_.png,91.28254352029793,True,quinty
quinty-v2_00008_.png,92.90214022956309,True,quinty
quinty-v2_00009_.png,92.87688871755351,True,quinty
quinty-v2_00010_.png,95.74230266928714,True,quinty
quinty-v2_00011_.png,93.92024492762944,True,quinty
quinty-v2_00012_.png,92.66605200678242,True,quinty
quinty-v2_00013_.png,91.95017763630494,True,quinty
quinty-v2_00014_.png,94.05355363687575,True,quinty
quinty-v2_00015_.png,94.79407851960609,True,quinty
quinty-v2_00016_.png,94.09238813920162,True,quinty
quinty-v2_00017_.png,92.92437279949897,True,quinty
quinty-v2_00018_.png,94.63335245943517,True,quinty
quinty-v2_00019_.png,92.8879176779728,True,quinty
quinty-v2_00020_.png,93.19274386855095,True,quinty
quinty-v2_00021_.png,92.74188501098612,True,quinty
quinty-v2_00022_.png,93.54577715437055,True,quinty
quinty-v2_00023_.png,94.6336502978642,True,quinty
quinty-v2_00024_.png,93.70427441635508,True,quinty
quinty-v2_00025_.png,92.106905304712,True,quinty
quinty-v2_00026_.png,93.66947666281068,True,quinty
quinty-v2_00027_.png,92.61136751091243,True,quinty
quinty-v2_00028_.png,94.12883287263465,True,quinty
quinty-v2_00029_.png,93.3004343711744,True,quinty
quinty-v2_00030_.png,93.74281971858045,True,quinty
quinty-v2_00031_.png,94.88388588534163,True,quinty
quinty-v2_00032_.png,93.66952076864357,True,quinty
quinty-v2_00033_.png,92.44172610718685,True,quinty
quinty-v2_00034_.png,92.37095843279228,True,quinty
quinty-v2_00035_.png,92.72665234310226,True,quinty
quinty-v2_00036_.png,92.30924200770015,True,quinty
quinty-v2_00037_.png,93.17599956089569,True,quinty
quinty-v2_00038_.png,92.72388407764961,True,quinty
quinty-v2_00039_.png,93.56174344178288,True,quinty
quinty-v2_00040_.png,93.2925646255267,True,quinty
quinty-v2_00041_.png,93.45893866013887,True,quinty
quinty-v2_00042_.png,93.66397139458891,True,quinty
quinty-v2_00043_.png,92.95905571605911,True,quinty
quinty-v2_00044_.png,92.61336822525809,True,quinty
quinty-v2_00045_.png,94.3125409161725,True,quinty
quinty-v2_00046_.png,93.79683322456837,True,quinty
quinty-v2_00047_.png,93.94987938514804,True,quinty
quinty-v2_00048_.png,93.83707709763442,True,quinty
quinty-v2_00049_.png,93.53995599952857,True,quinty
quinty-v2_00050_.png,94.31133458886997,True,quinty
